in,out,beat,dajiao_finish,on position,zukuang_finish,a1,a2,b1,b2,c1,c2,c3,c4,time
2021/11/19 22:01,2021/11/19 22:01,32,00 37,01 05,01 31,26,22,46,45,84,44,44,83,19
2021/11/19 22:01,2021/11/19 22:02,31,01 09,01 39,02 03,26,22,46,45,83,45,45,82,19
2021/11/19 22:02,2021/11/19 22:02,31,01 44,02 12,02 34,26,21,46,45,82,43,43,82,19
2021/11/19 22:03,2021/11/19 22:03,31,02 47,03 14,03 39,26,22,46,45,84,43,43,84,19
2021/11/19 22:03,2021/11/19 22:04,56,03 18,03 48,04 10,25,22,46,45,83,42,43,84,18
2021/11/19 22:04,2021/11/19 22:05,42,03 53,04 19,05 06,26,23,46,45,83,45,45,83,19
2021/11/19 22:05,2021/11/19 22:06,66,04 24,05 15,05 48,26,22,46,45,84,43,45,82,19
2021/11/19 22:06,2021/11/19 22:07,47,05 20,05 57,06 54,27,23,46,45,82,43,44,81,19
2021/11/19 22:07,2021/11/19 22:07,32,06 02,07 02,07 41,26,23,46,45,86,42,42,85,19
2021/11/19 22:07,2021/11/19 22:09,106,07 07,07 49,08 13,26,23,46,45,83,46,45,83,19
2021/11/19 22:09,2021/11/19 22:10,70,07 53,08 22,09 59,26,22,46,45,81,44,43,82,18
2021/11/19 22:14,2021/11/19 22:16,78,15 54,16 02,16 12,26,22,46,46,85,43,44,84,19
2021/11/19 22:16,2021/11/19 22:16,22,16 13,16 25,16 34,26,22,47,46,81,45,45,81,37
2021/11/19 22:16,2021/11/19 22:17,28,16 32,16 43,16 53,27,22,47,46,83,43,43,82,19
2021/11/19 22:17,2021/11/19 22:17,24,16 52,17 02,17 21,26,22,46,45,84,43,43,84,19
2021/11/19 22:17,2021/11/19 22:17,23,17 11,17 30,17 45,27,23,46,46,85,42,42,84,19
2021/11/19 22:17,2021/11/19 22:18,22,17 35,17 54,18 08,25,23,47,46,83,44,45,83,19
2021/11/19 22:18,2021/11/19 22:18,33,17 58,18 17,18 30,26,23,47,46,83,44,44,83,19
2021/11/19 22:18,2021/11/19 22:19,21,18 22,18 39,19 03,26,22,46,46,84,42,43,83,19
2021/11/19 22:19,2021/11/19 22:19,28,18 43,19 11,19 25,26,22,47,46,83,45,43,84,19
2021/11/19 22:19,2021/11/19 22:20,22,19 16,19 33,19 52,26,22,46,46,82,44,44,83,19
2021/11/19 22:20,2021/11/19 22:20,27,19 38,20 00,20 14,26,22,47,46,84,43,43,83,19
2021/11/19 22:20,2021/11/19 22:20,21,20 05,20 22,20 41,26,23,46,45,82,44,44,82,17
2021/11/19 22:20,2021/11/19 22:21,21,20 27,20 50,21 02,27,22,47,46,83,45,45,83,19
2021/11/19 22:21,2021/11/19 22:21,22,20 55,21 10,21 23,27,23,47,46,82,43,44,82,18
2021/11/19 22:21,2021/11/19 22:21,23,21 15,21 31,21 45,26,23,46,46,83,45,45,83,18
2021/11/19 22:21,2021/11/19 22:22,31,21 36,21 54,22 08,27,23,46,46,83,43,44,82,19
2021/11/19 22:22,2021/11/19 22:22,24,21 58,22 17,22 39,26,23,46,45,84,42,43,83,17
2021/11/19 22:22,2021/11/19 22:23,25,22 22,22 47,23 03,26,23,47,46,83,43,44,83,19
2021/11/19 22:23,2021/11/19 22:23,25,22 52,23 12,23 28,26,22,46,45,84,43,44,83,19
2021/11/19 22:23,2021/11/19 22:24,28,23 17,23 37,23 53,26,23,46,45,85,44,44,83,19
2021/11/19 22:24,2021/11/19 22:25,19,23 42,24 02,25 05,26,23,46,45,83,43,43,84,18
2021/11/19 22:25,2021/11/19 22:25,20,24 07,25 14,25 48,25,21,46,45,83,44,45,83,19
2021/11/19 22:26,2021/11/19 22:26,19,25 19,25 56,26 51,26,23,46,45,82,45,45,81,19
2021/11/19 22:27,2021/11/19 22:27,19,26 01,26 59,27 44,25,22,46,45,81,44,45,81,19
2021/11/19 22:27,2021/11/19 22:28,19,27 04,27 52,28 03,26,22,47,46,84,43,44,82,19
2021/11/19 22:28,2021/11/19 22:28,19,27 57,28 11,28 23,26,23,47,46,83,43,43,83,18
2021/11/19 22:28,2021/11/19 22:29,19,28 16,28 31,29 10,26,21,46,45,84,43,43,84,18
2021/11/19 22:29,2021/11/19 22:29,19,28 36,29 18,29 29,26,22,47,46,83,44,44,83,18
2021/11/19 22:29,2021/11/19 22:30,25,29 23,29 37,29 51,27,24,47,46,81,44,44,81,18
2021/11/19 22:30,2021/11/19 22:31,19,29 42,29 59,31 00,26,22,46,45,84,43,44,83,18
2021/11/19 23:34,2021/11/19 23:35,19,30 04,31 09,35 01,34,39,46,45,84,43,43,83,19
2021/11/19 23:35,2021/11/19 23:36,19,31 13,35 09,36 04,40,43,46,45,84,43,43,84,18
2021/11/19 23:36,2021/11/19 23:44,489,35 13,36 12,36 23,34,39,47,46,82,45,45,81,19
2021/11/19 23:44,2021/11/19 23:45,63,36 16,36 31,44 32,26,22,46,45,83,44,44,83,17
2021/11/19 23:45,2021/11/19 23:50,307,50 05,50 13,50 23,26,23,46,45,82,43,43,81,37
2021/11/19 23:50,2021/11/19 23:50,22,50 24,50 36,50 45,26,22,47,46,82,44,43,83,37
2021/11/19 23:50,2021/11/19 23:51,20,50 43,50 54,51 04,27,23,47,46,85,42,42,85,19
2021/11/19 23:51,2021/11/19 23:51,30,51 02,51 13,51 24,26,23,47,46,83,43,42,83,20
2021/11/19 23:51,2021/11/19 23:52,28,51 39,51 47,51 56,26,22,46,45,85,43,44,82,18
2021/11/19 23:52,2021/11/19 23:52,42,52 27,52 35,52 44,26,22,46,46,84,43,44,83,36
2021/11/19 23:52,2021/11/19 23:53,46,52 46,52 57,53 07,26,22,47,46,83,43,43,83,37
2021/11/19 23:53,2021/11/19 23:54,35,53 05,53 15,53 50,26,22,46,45,83,44,44,82,19
2021/11/19 23:54,2021/11/19 23:54,43,53 24,53 58,54 26,25,22,46,45,84,45,45,83,19
2021/11/19 23:55,2021/11/19 23:56,19,54 03,54 34,56 10,26,22,46,45,83,43,43,81,20
2021/11/19 23:56,2021/11/19 23:57,19,54 39,56 18,56 56,26,22,46,46,82,44,44,84,17
