state1,state2,state3,state4,state4,time
2,1,0,0,0,2021/11/20 3:05
1,1,0,0,0,2021/11/20 3:05
2,1,0,0,0,2021/11/20 3:06
1,1,0,0,0,2021/11/20 3:06
2,1,0,0,0,2021/11/20 3:06
1,1,0,0,0,2021/11/20 3:07
2,1,0,0,0,2021/11/20 3:07
1,1,0,0,0,2021/11/20 3:07
2,1,0,0,0,2021/11/20 3:08
1,1,0,0,0,2021/11/20 3:08
2,1,0,0,0,2021/11/20 3:08
1,1,0,0,0,2021/11/20 3:09
2,1,0,0,0,2021/11/20 3:09
1,1,0,0,0,2021/11/20 3:09
2,1,0,0,0,2021/11/20 3:10
1,1,0,0,0,2021/11/20 3:10
2,1,0,0,0,2021/11/20 3:10
1,1,0,0,0,2021/11/20 3:10
2,1,0,0,0,2021/11/20 3:11
1,1,0,0,0,2021/11/20 3:11
2,1,0,0,0,2021/11/20 3:11
1,1,0,0,0,2021/11/20 3:12
2,1,0,0,0,2021/11/20 3:12
1,1,0,0,0,2021/11/20 3:12
2,1,0,0,0,2021/11/20 3:12
1,1,0,0,0,2021/11/20 3:13
2,1,0,0,0,2021/11/20 3:13
1,1,0,0,0,2021/11/20 3:13
2,1,0,0,0,2021/11/20 3:14
1,1,0,0,0,2021/11/20 3:14
2,1,0,0,0,2021/11/20 3:15
1,1,0,0,0,2021/11/20 3:15
2,1,0,0,0,2021/11/20 3:15
1,1,0,0,0,2021/11/20 3:16
2,1,0,0,0,2021/11/20 3:16
1,1,0,0,0,2021/11/20 3:16
2,1,0,0,0,2021/11/20 3:17
1,1,0,0,0,2021/11/20 3:17
2,1,0,0,0,2021/11/20 3:18
1,1,0,0,0,2021/11/20 3:18
2,1,0,0,0,2021/11/20 3:18
1,1,0,0,0,2021/11/20 3:18
2,1,0,0,0,2021/11/20 3:19
1,1,0,0,0,2021/11/20 3:19
2,1,0,0,0,2021/11/20 3:19
1,1,0,0,0,2021/11/20 3:20
2,1,0,0,0,2021/11/20 3:20
1,1,0,0,0,2021/11/20 3:20
2,1,0,0,0,2021/11/20 3:20
1,1,0,0,0,2021/11/20 3:20
2,1,0,0,0,2021/11/20 3:21
1,1,0,0,0,2021/11/20 3:21
2,1,0,0,0,2021/11/20 3:22
1,1,0,0,0,2021/11/20 3:22
2,1,0,0,0,2021/11/20 3:22
1,1,0,0,0,2021/11/20 3:22
2,1,0,0,0,2021/11/20 3:23
1,1,0,0,0,2021/11/20 3:23
2,1,0,0,0,2021/11/20 3:23
1,1,0,0,0,2021/11/20 3:24
2,1,0,0,0,2021/11/20 3:24
1,1,0,0,0,2021/11/20 3:24
2,1,0,0,0,2021/11/20 3:24
2,1,0,1,0,2021/11/20 3:25
1,1,0,1,0,2021/11/20 3:25
2,1,0,1,0,2021/11/20 3:25
1,1,0,1,0,2021/11/20 3:25
2,1,0,1,0,2021/11/20 3:26
2,0,0,1,0,2021/11/20 3:26
1,0,0,1,0,2021/11/20 3:26
2,0,0,1,0,2021/11/20 3:26
1,0,0,1,0,2021/11/20 3:26
2,0,0,1,0,2021/11/20 3:27
1,0,0,1,0,2021/11/20 3:27
1,1,0,0,0,2021/11/20 3:27
2,1,0,0,0,2021/11/20 3:29
1,1,0,0,0,2021/11/20 3:29
2,1,0,0,0,2021/11/20 3:29
1,1,0,0,0,2021/11/20 3:30
2,1,0,0,0,2021/11/20 3:30
1,1,0,0,0,2021/11/20 3:31
2,1,0,0,0,2021/11/20 3:31
1,1,0,0,0,2021/11/20 3:31
2,1,0,0,0,2021/11/20 3:32
1,1,0,0,0,2021/11/20 3:32
2,1,0,0,0,2021/11/20 3:33
1,1,0,0,0,2021/11/20 3:33
2,1,0,0,0,2021/11/20 3:33
1,1,0,0,0,2021/11/20 3:34
2,1,0,0,0,2021/11/20 3:34
1,1,0,0,0,2021/11/20 3:34
2,1,0,0,0,2021/11/20 3:35
1,1,0,0,0,2021/11/20 3:35
2,1,0,0,0,2021/11/20 3:36
1,1,0,0,0,2021/11/20 3:36
2,1,0,0,0,2021/11/20 3:36
1,1,0,0,0,2021/11/20 3:37
2,1,0,0,0,2021/11/20 3:38
1,1,0,0,0,2021/11/20 3:38
2,1,0,0,0,2021/11/20 3:38
1,1,0,0,0,2021/11/20 3:39
2,1,0,0,0,2021/11/20 3:39
1,1,0,0,0,2021/11/20 3:40
2,1,0,0,0,2021/11/20 3:40
1,1,0,0,0,2021/11/20 3:41
2,1,0,0,0,2021/11/20 3:41
1,1,0,0,0,2021/11/20 3:41
2,1,0,0,0,2021/11/20 3:41
1,1,0,0,0,2021/11/20 3:42
2,1,0,0,0,2021/11/20 3:42
1,1,0,0,0,2021/11/20 3:43
2,1,0,0,0,2021/11/20 3:43
1,1,0,0,0,2021/11/20 3:43
2,1,0,0,0,2021/11/20 3:44
1,1,0,0,0,2021/11/20 3:44
2,1,0,0,0,2021/11/20 3:44
1,1,0,0,0,2021/11/20 3:45
2,1,0,0,0,2021/11/20 3:45
1,1,0,0,0,2021/11/20 3:46
2,1,0,0,0,2021/11/20 3:46
1,1,0,0,0,2021/11/20 3:47
2,1,0,0,0,2021/11/20 3:47
1,1,0,0,0,2021/11/20 3:47
2,1,0,0,0,2021/11/20 3:48
1,1,0,0,0,2021/11/20 3:48
2,1,0,0,0,2021/11/20 3:48
1,1,0,0,0,2021/11/20 3:49
2,1,0,0,0,2021/11/20 3:49
1,1,0,0,0,2021/11/20 3:49
2,1,0,0,0,2021/11/20 3:49
1,1,0,0,0,2021/11/20 3:50
2,1,0,0,0,2021/11/20 3:50
1,1,0,0,0,2021/11/20 3:50
2,1,0,0,0,2021/11/20 3:51
1,1,0,0,0,2021/11/20 3:51
2,1,0,0,0,2021/11/20 3:51
1,1,0,0,0,2021/11/20 3:52
2,1,0,0,0,2021/11/20 3:52
1,1,0,0,0,2021/11/20 3:52
2,1,0,0,0,2021/11/20 3:53
1,1,0,0,0,2021/11/20 3:53
2,1,0,0,0,2021/11/20 3:53
1,1,0,0,0,2021/11/20 3:54
2,1,0,0,0,2021/11/20 3:54
1,1,0,0,0,2021/11/20 3:54
2,1,0,0,0,2021/11/20 3:54
1,1,0,0,0,2021/11/20 3:55
2,1,0,0,0,2021/11/20 3:55
1,1,0,0,0,2021/11/20 3:56
2,1,0,0,0,2021/11/20 3:56
1,1,0,0,0,2021/11/20 3:56
2,1,0,0,0,2021/11/20 3:57
1,1,0,0,0,2021/11/20 3:57
2,1,0,0,0,2021/11/20 3:57
1,1,0,0,0,2021/11/20 3:58
2,1,0,0,0,2021/11/20 3:58
1,1,0,0,0,2021/11/20 3:58
2,1,0,0,0,2021/11/20 3:58
1,1,0,0,0,2021/11/20 3:58
2,1,0,0,0,2021/11/20 3:59
1,1,0,0,0,2021/11/20 3:59
2,1,0,0,0,2021/11/20 3:59
1,1,0,0,0,2021/11/20 3:59
2,1,0,0,0,2021/11/20 4:00
1,1,0,0,0,2021/11/20 4:00
2,1,0,0,0,2021/11/20 4:00
1,1,0,0,0,2021/11/20 4:00
2,1,0,0,0,2021/11/20 4:01
1,1,0,0,0,2021/11/20 4:01
2,1,0,0,0,2021/11/20 4:01
1,1,0,0,0,2021/11/20 4:01
2,1,0,0,0,2021/11/20 4:02
1,1,0,0,0,2021/11/20 4:02
2,1,0,0,0,2021/11/20 4:03
3,1,0,0,0,2021/11/20 4:03
1,1,0,0,0,2021/11/20 4:03
3,1,0,0,0,2021/11/20 4:03
1,1,0,0,0,2021/11/20 4:04
2,1,0,0,0,2021/11/20 4:04
1,1,0,0,0,2021/11/20 4:08
2,1,0,0,0,2021/11/20 4:08
1,1,0,0,0,2021/11/20 4:08
0,1,0,0,0,2021/11/20 4:09
1,1,0,0,0,2021/11/20 4:10
2,1,0,0,0,2021/11/20 4:11
1,1,0,0,0,2021/11/20 4:11
2,1,0,0,0,2021/11/20 4:11
